13:23:50:068;29,7522;56,5374;92,54823;0;0
13:23:50:142;1,307306;1,949955;93,2508;0;-0,0006955862
13:23:50:222;2,510374;1,241585;92,94836;0;0,003118396
13:23:50:300;2,112749;0,8966599;92,78709;0;0,002795458
13:23:50:376;0,8879395;0,4862366;91,46011;0;0,001936555
13:23:50:458;1,136503;0,7432823;92,41693;0;-7,212162E-06
13:23:50:537;2,322433;1,193111;91,98448;0;0,005844712
13:23:50:614;1,915369;0,3684158;92,83308;0;0,004504979
13:23:50:692;2,353298;1,931206;92,41929;0;-4,076958E-05
13:23:50:771;2,039413;1,258152;91,3429;0;0,004734874
13:23:50:855;3,688683;2,594688;90,11623;0;0,009789765
13:23:50:932;2,66503;1,337337;90,67519;0;0,01637292
13:23:51:011;3,444693;1,143284;88,58817;0;0,03178233
13:23:51:109;3,240877;2,403908;88,94819;0;0,04102045
13:23:51:202;1,222631;0,9979019;89,0467;0;0,04019248
13:23:51:284;3,802778;2,070637;90,43656;0;0,03319305
13:23:51:361;4,641832;2,57803;89,41991;0;0,02688694
13:23:51:436;4,978523;1,945183;90,40321;0;0,01311517
13:23:51:509;3,916189;2,708965;90,67915;0;0,002841294
13:23:51:590;4,651363;3,225708;91,32512;0;0,001545787
13:23:51:670;3,060535;3,201485;90,32057;0;0,0006904602
13:23:51:747;4,514389;1,795879;90,37743;0;0,003712356
13:23:51:825;5,17738;0,8135414;90,25162;0;0,008669138
13:23:51:904;3,76231;3,049809;87,00822;0;0,0227828
13:23:51:981;5,478153;1,018143;86,35326;0;0,03728199
13:23:52:060;4,666872;2,523483;84,70485;0;0,05672687
13:23:52:140;4,749031;3,038311;85,40237;0;0,0539608
13:23:52:220;3,63279;4,284496;85,14047;0;0,04711533
13:23:52:296;3,712711;2,581417;86,38862;0;0,03163725
13:23:52:371;4,726934;2,517681;87,94189;0;0,01815408
13:23:52:450;4,612684;2,678726;88,20718;0;0,003816426
13:23:52:526;4,441441;4,891476;90,30574;24,17708;-0,003391922
13:23:52:603;5,938997;4,177685;90,11882;23,45374;-0,0009688735
13:23:52:681;4,086332;3,577106;89,54158;22,78041;0,00335592
13:23:52:757;3,914827;3,296909;89,22414;22,12024;0,002230346
13:23:52:839;5,347059;2,131813;87,98004;21,5169;0,01034874
13:23:52:917;3,683748;3,289711;85,70248;20,89868;0,02842188
13:23:52:992;4,453272;5,757584;85,12681;20,34911;0,0476073
13:23:53:068;4,045101;3,412586;86,25555;19,84051;0,06054926
13:23:53:144;4,566219;3,132046;85,81975;19,35547;0,05495644
13:23:53:227;3,473118;4,870319;88,71173;18,87014;0,04012686
13:23:53:303;6,169941;6,013348;88,07176;18,40731;0,01960862
13:23:53:380;4,059805;3,30489;90,02055;35,98358;-0,0001194477
13:23:53:457;5,578657;3,485886;92,20392;35,15927;-0,00408572
13:23:53:532;4,995825;5,108082;91,00364;34,40376;-0,004844904
13:23:53:609;5,555609;5,081715;91,56725;33,67476;-0,0009884238
13:23:53:688;5,431799;4,454113;91,42506;32,95357;0,0006231666
13:23:53:765;5,27478;4,660774;89,7645;32,26911;0,007260144
13:23:53:841;5,633551;4,255592;89,62502;31,60633;0,02011859
13:23:53:919;5,114685;5,027248;88,16857;30,97994;0,0336917
13:23:53:994;5,364586;3,34734;87,2196;30,36317;0,05094308
13:23:54:070;5,826405;4,564095;88,46551;29,79874;0,05005515
13:23:54:148;5,004902;2,779915;88,14663;29,25459;0,04382348
13:23:54:225;2,982416;5,01936;89,65897;28,70656;0,0243488
13:23:54:300;5,323513;4,975689;90,49361;28,19031;0,01104969
13:23:54:376;4,338717;3,291409;92,92049;41,5519;-0,004092753
13:23:54:454;5,443302;3,512123;93,47446;40,82109;-0,004209042
13:23:54:531;5,443419;4,111122;93,7102;40,1333;-0,001818836
13:23:54:610;2,644577;3,894653;93,2409;39,4506;-0,002113879
13:23:54:689;6,338539;4,570072;92,19979;38,76583;0,008199394
13:23:54:770;7,384672;4,161724;90,407;38,11365;0,01669204
13:23:54:852;6,560413;3,426918;89,12022;37,49128;0,03032726
13:23:54:930;5,416058;3,655258;88,20981;36,86141;0,04755181
13:23:55:005;4,147911;4,66573;87,68632;36,28436;0,0566501
13:23:55:082;5,98373;6,245468;88,89951;35,73895;0,05180424
13:23:55:156;5,639343;5,419708;90,24873;35,20139;0,03308088
13:23:55:233;5,305145;3,73344;89,82976;34,70196;0,01342142
13:23:55:310;2,878868;6,157879;92,6289;45,58458;-0,003027499
13:23:55:387;5,118879;4,891117;92,72487;44,92203;-0,005846381
13:23:55:465;4,450636;3,901997;93,82398;44,29823;-0,008123994
13:23:55:541;6,965601;5,466141;92,16286;43,65368;0,0007023215
13:23:55:622;5,131016;4,669685;92,94013;43,05448;-0,0005661845
13:23:55:701;6,647329;4,692677;91,7001;42,44749;0,01112038
13:23:55:776;5,411509;4,718685;88,89821;41,8669;0,02934372
13:23:55:852;5,055685;4,678478;88,32357;41,31521;0,04263806
13:23:55:928;4,37966;5,841091;87,80366;40,78687;0,0593096
13:23:56:003;3,500196;3,670116;88,12807;40,27398;0,05506629
13:23:56:082;6,267059;5,800434;88,99183;39,77137;0,04836237
13:23:56:159;4,972063;3,571812;91,21771;39,25918;0,0209552
13:23:56:237;4,969666;4,259777;90,47691;38,76589;0,01155716
13:23:56:316;6,750685;4,021355;93,32195;47,84797;-0,001169145
13:23:56:392;5,991646;5,448204;93,07443;778,1063;-0,002144098
13:23:56:469;3,522272;4,859474;91,72011;387,6341;-0,004560947
13:23:56:542;5,101597;4,232307;91,40561;260,2184;-0,002577603
13:23:56:621;4,088831;5,33604;89,24771;196,3625;0,0112887
13:23:56:698;4,867632;4,93465;89,00227;156,613;0,02176321
13:23:56:771;3,929682;3,244328;86,88287;130,5433;0,04076099
13:23:56:853;4,507708;2,390469;85,79826;112,5613;0,05796045
13:23:56:930;4,704597;4,211185;85,88448;97,56132;0,05646783
13:23:57:006;3,84712;3,068737;86,47502;86,67732;0,04510403
13:23:57:086;5,266991;3,275703;86,47615;77,82372;0,03354686
13:23:57:161;6,33761;4,441704;87,63341;70,83186;0,02058864
13:23:57:238;5,967186;4,003334;88,60645;65,01318;0,007827222
13:23:57:316;6,146919;4,94521;90,50112;60,03985;0,0003743172
13:23:57:391;7,099554;5,233089;91,03786;111,4368;-0,0009778738
13:23:57:467;5,897221;5,391277;90,90098;104,0302;5,90682E-05
13:23:57:545;6,164633;4,284225;89,97441;97,62672;0,003526032
13:23:57:624;6,412777;4,519871;90,21154;91,75927;0,009768009
13:23:57:703;7,018867;2,051331;87,85306;86,55426;0,0191716
13:23:57:781;4,688976;0,7979584;86,58302;81,92469;0,03480917
13:23:57:858;4,761042;1,177494;86,06694;77,6746;0,05738282
13:23:57:934;4,352345;0,8549271;87,19586;74,03699;0,05709296
13:23:58:008;4,280916;0,6509438;86,62396;70,77067;0,05414677
13:23:58:085;5,671328;4,128468;87,79813;67,76636;0,04200852
13:23:58:161;6,239592;3,398365;91,24008;64,99223;0,01257694
13:23:58:236;5,529093;2,842403;92,97158;62,42986;0,0009042621
13:23:58:317;4,312437;3,266037;92,12712;90,0835;-0,004478812
13:23:58:393;7,197948;2,564587;92,59856;86,62163;-0,002476871
13:23:58:470;7,188202;3,412128;93,52456;83,5078;-0,002833903
13:23:58:548;5,81307;2,625591;92,97069;80,65583;-0,002440929
13:23:58:625;5,843;2,645496;94,7346;77,89566;-0,002142847
13:23:58:702;3,523138;2,878555;93,23085;75,40337;-0,004180789
13:23:58:779;3,286804;3,040447;93,43824;73,0681;-0,005363107
13:23:58:858;4,047386;3,889908;91,95288;70,83611;0,001930535
13:23:58:934;4,196331;2,886227;91,74718;68,69061;0,00291729
13:23:59:009;4,354088;4,281368;92,10086;66,77467;0,004582703
13:23:59:086;3,920603;2,022705;92,51186;64,93463;0,001916468
13:23:59:163;3,807985;3,731354;93,23441;63,22207;0,001057386
13:23:59:239;4,721485;4,814491;93,73564;61,5498;0,001636803
13:23:59:317;6,384604;3,565632;91,62762;59,96889;0,005379736
13:23:59:396;4,943722
